match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,matchDate
Super Kings Vs Titans,Super Kings,1,DevonConway , b Mohammed Shami,1,6,0,0,16.66,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,2,RuturajGaikwad ,c Shubman Gill b Joseph,92,50,4,9,184.00,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,3,MoeenAli ,c †Saha b Rashid Khan,23,17,4,1,135.29,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,4,BenStokes ,c †Saha b Rashid Khan,7,6,1,0,116.66,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,5,AmbatiRayudu , b Little,12,12,0,1,100.00,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,6,ShivamDube ,c Rashid Khan b Mohammed Shami,19,18,0,1,105.55,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,7,RavindraJadeja ,c Shankar b Joseph,1,2,0,0,50.00,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,8,MSDhoni (c)†,not out,14,7,1,1,200.00,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,9,MitchellSantner ,not out,1,3,0,0,33.33,"Mar 31, 2023"
Super Kings Vs Titans,Titans,1,WriddhimanSaha †,c Dube b Hangargekar,25,16,2,2,156.25,"Mar 31, 2023"
Super Kings Vs Titans,Titans,2,ShubmanGill ,c Gaikwad b Deshpande,63,36,6,3,175.00,"Mar 31, 2023"
Super Kings Vs Titans,Titans,3,SaiSudharsan ,c †Dhoni b Hangargekar,22,17,3,0,129.41,"Mar 31, 2023"
Super Kings Vs Titans,Titans,4,HardikPandya (c), b Jadeja,8,11,0,0,72.72,"Mar 31, 2023"
Super Kings Vs Titans,Titans,5,VijayShankar ,c Santner b Hangargekar,27,21,2,1,128.57,"Mar 31, 2023"
Super Kings Vs Titans,Titans,6,RahulTewatia ,not out,15,14,1,1,107.14,"Mar 31, 2023"
Super Kings Vs Titans,Titans,7,RashidKhan ,not out,10,3,1,1,333.33,"Mar 31, 2023"
Punjab Kings Vs KKR,Punjab Kings,1,PrabhsimranSingh ,c †Rahmanullah Gurbaz b Southee,23,12,2,2,191.66,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,2,ShikharDhawan (c), b Varun,40,29,6,0,137.93,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,3,BhanukaRajapaksa ,c Singh b Yadav,50,32,5,2,156.25,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,4,JiteshSharma †,c Yadav b Southee,21,11,1,2,190.90,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,5,SikandarRaza ,c Rana b Narine,16,13,1,1,123.07,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,6,SamCurran ,not out,26,17,0,2,152.94,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,7,MShahrukhKhan ,not out,11,7,2,0,157.14,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,1,MandeepSingh ,c Curran b Arshdeep Singh,2,4,0,0,50.00,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,2,RahmanullahGurbaz †, b Ellis,22,16,3,1,137.50,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,3,AnukulRoy ,c Sikandar Raza b Arshdeep Singh,4,5,1,0,80.00,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,4,VenkateshIyer ,c Chahar b Arshdeep Singh,34,28,3,1,121.42,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,5,NitishRana (c),c Chahar b Sikandar Raza,24,17,3,1,141.17,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,6,RinkuSingh ,c Sikandar Raza b Chahar,4,4,0,0,100.00,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,7,AndreRussell ,c Sikandar Raza b Curran,35,19,3,2,184.21,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,8,ShardulThakur ,not out,8,3,0,1,266.66,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,9,SunilNarine ,not out,7,2,0,1,350.00,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,1,KLRahul (c),c Patel b Sakariya,8,12,0,1,66.66,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,2,KyleMayers , b Patel,73,38,2,7,192.10,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,3,DeepakHooda ,c Warner b Kuldeep Yadav,17,18,0,0,94.44,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,4,KrunalPandya ,not out,15,13,0,1,115.38,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,5,MarcusStoinis ,c †Khan b Ahmed,12,10,0,1,120.00,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,6,NicholasPooran †,c Shaw b Ahmed,36,21,2,3,171.42,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,7,AyushBadoni ,c †Khan b Sakariya,18,7,1,2,257.14,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,8,KrishnappaGowtham ,not out,6,1,0,1,600.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,1,PrithviShaw , b Wood,12,9,2,0,133.33,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,2,DavidWarner (c),c Gowtham b Avesh Khan,56,48,7,0,116.66,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,3,MitchellMarsh , b Wood,0,1,0,0,0.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,4,SarfarazKhan †,c Gowtham b Wood,4,9,1,0,44.44,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,5,RileeRossouw ,c Mayers b Ravi Bishnoi,30,20,3,1,150.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,6,RovmanPowell ,lbw b Ravi Bishnoi,1,3,0,0,33.33,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,7,AmanHakimKhan ,c †Pooran b Avesh Khan,4,5,0,0,80.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,8,AxarPatel ,c sub (PN Mankad) b Wood,16,11,1,1,145.45,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,9,KuldeepYadav ,not out,6,10,0,0,60.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,10,ChetanSakariya ,c Pandya b Wood,4,4,1,0,100.00,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,11,MukeshKumar ,not out,0,1,0,0,0.00,"Apr 1, 2023"
Royals Vs Sunrisers,Royals,1,YashasviJaiswal ,c Agarwal b Fazalhaq Farooqi,54,37,9,0,145.94,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,2,JosButtler , b Fazalhaq Farooqi,54,22,7,3,245.45,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,3,SanjuSamson (c)†,c Abhishek Sharma b Natarajan,55,32,3,4,171.87,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,4,DevduttPadikkal , b Umran Malik,2,5,0,0,40.00,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,5,RiyanParag ,c Fazalhaq Farooqi b Natarajan,7,6,1,0,116.66,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,6,ShimronHetmyer ,not out,22,16,1,1,137.50,"Apr 2, 2023"
Royals Vs Sunrisers,Royals,7,RavichandranAshwin ,not out,1,2,0,0,50.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,1,AbhishekSharma , b Boult,0,3,0,0,0.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,2,MayankAgarwal ,c Buttler b Chahal,27,23,3,0,117.39,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,3,RahulTripathi ,c Holder b Boult,0,2,0,0,0.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,4,HarryBrook , b Chahal,13,21,1,0,61.90,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,5,WashingtonSundar ,c Hetmyer b Holder,1,5,0,0,20.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,6,GlennPhillips †,c Asif b Ashwin,8,6,0,1,133.33,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,7,AbdulSamad ,not out,32,32,2,1,100.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,8,AdilRashid ,st †Samson b Chahal,18,13,1,1,138.46,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,9,BhuvneshwarKumar (c), b Chahal,6,10,0,0,60.00,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,10,UmranMalik ,not out,19,8,1,2,237.50,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,1,RohitSharma (c),c †Karthik b Akash Deep,1,10,0,0,10.00,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,2,IshanKishan †,c Patel b Mohammed Siraj,10,13,2,0,76.92,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,3,CameronGreen , b Topley,5,4,1,0,125.00,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,4,SuryakumarYadav ,c Shahbaz Ahmed b Bracewell,15,16,1,0,93.75,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,5,TilakVarma ,not out,84,46,9,4,182.60,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,6,NehalWadhera ,c Kohli b Sharma,21,13,1,2,161.53,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,7,TimDavid , b Sharma,4,7,0,0,57.14,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,8,HrithikShokeen ,c du Plessis b Patel,5,3,1,0,166.66,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,9,ArshadKhan ,not out,15,9,0,1,166.66,"Apr 2, 2023"
Mumbai Vs RCB,RCB,1,ViratKohli ,not out,82,49,6,5,167.34,"Apr 2, 2023"
Mumbai Vs RCB,RCB,2,FafduPlessis (c),c David b Arshad Khan,73,43,5,6,169.76,"Apr 2, 2023"
Mumbai Vs RCB,RCB,3,DineshKarthik †,c Tilak Varma b Green,0,3,0,0,0.00,"Apr 2, 2023"
Mumbai Vs RCB,RCB,4,GlennMaxwell ,not out,12,3,0,2,400.00,"Apr 2, 2023"
Super Kings Vs Super Giants,Super Kings,1,RuturajGaikwad ,c Wood b Ravi Bishnoi,57,31,3,4,183.87,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,2,DevonConway ,c Pandya b Wood,47,29,5,2,162.06,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,3,ShivamDube ,c Wood b Ravi Bishnoi,27,16,1,3,168.75,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,4,MoeenAli ,st †Pooran b Ravi Bishnoi,19,13,3,0,146.15,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,5,BenStokes ,c Yash Thakur b Avesh Khan,8,8,1,0,100.00,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,6,AmbatiRayudu ,not out,27,14,2,2,192.85,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,7,RavindraJadeja ,c Ravi Bishnoi b Wood,3,6,0,0,50.00,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,8,MSDhoni (c)†,c Ravi Bishnoi b Wood,12,3,0,2,400.00,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,9,MitchellSantner ,not out,1,1,0,0,100.00,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,1,KLRahul (c),c Gaikwad b Ali,20,18,2,0,111.11,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,2,KyleMayers ,c Conway b Ali,53,22,8,2,240.90,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,3,DeepakHooda ,c Stokes b Santner,2,6,0,0,33.33,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,4,KrunalPandya ,c Jadeja b Ali,9,9,0,1,100.00,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,5,MarcusStoinis , b Ali,21,18,0,1,116.66,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,6,NicholasPooran †,c Stokes b Deshpande,32,18,2,3,177.77,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,7,AyushBadoni ,c †Dhoni b Deshpande,23,18,0,0,127.77,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,8,KrishnappaGowtham ,not out,17,11,0,1,154.54,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,9,MarkWood ,not out,10,3,1,1,333.33,"Apr 3, 2023"
Capitals Vs Titans,Capitals,1,DavidWarner (c), b Joseph,37,32,7,0,115.62,"Apr 4, 2023"
Capitals Vs Titans,Capitals,2,PrithviShaw ,c Joseph b Mohammed Shami,7,5,1,0,140.00,"Apr 4, 2023"
Capitals Vs Titans,Capitals,3,MitchellMarsh , b Mohammed Shami,4,4,1,0,100.00,"Apr 4, 2023"
Capitals Vs Titans,Capitals,4,SarfarazKhan ,c Little b Rashid Khan,30,34,2,0,88.23,"Apr 4, 2023"
Capitals Vs Titans,Capitals,5,RileeRossouw ,c Tewatia b Joseph,0,1,0,0,0.00,"Apr 4, 2023"
Capitals Vs Titans,Capitals,6,AbishekPorel †, b Rashid Khan,20,11,0,2,181.81,"Apr 4, 2023"
Capitals Vs Titans,Capitals,7,AxarPatel ,c Miller b Mohammed Shami,36,22,2,3,163.63,"Apr 4, 2023"
Capitals Vs Titans,Capitals,8,AmanHakimKhan ,c Pandya b Rashid Khan,8,8,0,1,100.00,"Apr 4, 2023"
Capitals Vs Titans,Capitals,9,KuldeepYadav ,not out,1,1,0,0,100.00,"Apr 4, 2023"
Capitals Vs Titans,Capitals,10,AnrichNortje ,not out,4,2,1,0,200.00,"Apr 4, 2023"
Capitals Vs Titans,Titans,1,WriddhimanSaha †, b Nortje,14,7,2,1,200.00,"Apr 4, 2023"
Capitals Vs Titans,Titans,2,ShubmanGill , b Nortje,14,13,3,0,107.69,"Apr 4, 2023"
Capitals Vs Titans,Titans,3,SaiSudharsan ,not out,62,48,4,2,129.16,"Apr 4, 2023"
Capitals Vs Titans,Titans,4,HardikPandya (c),c †Abishek Porel b Ahmed,5,4,1,0,125.00,"Apr 4, 2023"
Capitals Vs Titans,Titans,5,VijayShankar ,lbw b Marsh,29,23,3,0,126.08,"Apr 4, 2023"
Capitals Vs Titans,Titans,6,DavidMiller ,not out,31,16,2,2,193.75,"Apr 4, 2023"
Punjab Kings Vs Royals,Punjab Kings,1,PrabhsimranSingh ,c Buttler b Holder,60,34,7,3,176.47,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,2,ShikharDhawan (c),not out,86,56,9,3,153.57,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,3,BhanukaRajapaksa ,retired hurt,1,1,0,0,100.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,4,JiteshSharma †,c Parag b Chahal,27,16,2,1,168.75,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,5,SikandarRaza , b Ashwin,1,2,0,0,50.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,6,MShahrukhKhan ,c Buttler b Holder,11,10,1,0,110.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,7,SamCurran ,not out,1,2,0,0,50.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,1,YashasviJaiswal ,c sub (MW Short) b Arshdeep Singh,11,8,1,1,137.50,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,2,RavichandranAshwin ,c S Dhawan b Arshdeep Singh,0,4,0,0,0.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,3,JosButtler ,c & b Ellis,19,11,1,1,172.72,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,4,SanjuSamson (c)†,c sub (MW Short) b Ellis,42,25,5,1,168.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,5,DevduttPadikkal , b Ellis,21,26,1,0,80.76,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,6,RiyanParag ,c Shahrukh Khan b Ellis,20,12,1,2,166.66,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,7,ShimronHetmyer ,run out (Shahrukh Khan/Curran),36,18,1,3,200.00,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,8,DhruvJurel ,not out,32,15,3,2,213.33,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,9,JasonHolder ,not out,1,1,0,0,100.00,"Apr 5, 2023"
KKR Vs RCB,KKR,1,RahmanullahGurbaz †,c Akash Deep b Sharma,57,44,6,3,129.54,"Apr 6, 2023"
KKR Vs RCB,KKR,2,VenkateshIyer , b Willey,3,7,0,0,42.85,"Apr 6, 2023"
KKR Vs RCB,KKR,3,MandeepSingh , b Willey,0,1,0,0,0.00,"Apr 6, 2023"
KKR Vs RCB,KKR,4,NitishRana (c),c †Karthik b Bracewell,1,5,0,0,20.00,"Apr 6, 2023"
KKR Vs RCB,KKR,5,RinkuSingh ,c †Karthik b Patel,46,33,2,3,139.39,"Apr 6, 2023"
KKR Vs RCB,KKR,6,AndreRussell ,c Kohli b Sharma,0,1,0,0,0.00,"Apr 6, 2023"
KKR Vs RCB,KKR,7,ShardulThakur ,c Maxwell b Mohammed Siraj,68,29,9,3,234.48,"Apr 6, 2023"
KKR Vs RCB,KKR,8,SunilNarine ,not out,0,1,0,0,0.00,"Apr 6, 2023"
KKR Vs RCB,KKR,9,UmeshYadav ,not out,6,2,1,0,300.00,"Apr 6, 2023"
KKR Vs RCB,RCB,1,ViratKohli , b Narine,21,18,3,0,116.66,"Apr 6, 2023"
KKR Vs RCB,RCB,2,FafduPlessis (c), b Varun,23,12,2,2,191.66,"Apr 6, 2023"
KKR Vs RCB,RCB,3,MichaelBracewell ,c Rana b Thakur,19,18,1,1,105.55,"Apr 6, 2023"
KKR Vs RCB,RCB,4,GlennMaxwell , b Varun,5,7,1,0,71.42,"Apr 6, 2023"
KKR Vs RCB,RCB,5,HarshalPatel , b Varun,0,2,0,0,0.00,"Apr 6, 2023"
KKR Vs RCB,RCB,6,ShahbazAhmed ,c Thakur b Narine,1,5,0,0,20.00,"Apr 6, 2023"
KKR Vs RCB,RCB,7,DineshKarthik †,c Varun b Suyash Sharma,9,8,1,0,112.50,"Apr 6, 2023"
KKR Vs RCB,RCB,8,AnujRawat ,c Narine b Suyash Sharma,1,5,0,0,20.00,"Apr 6, 2023"
KKR Vs RCB,RCB,9,DavidWilley ,not out,20,20,2,0,100.00,"Apr 6, 2023"
KKR Vs RCB,RCB,10,KarnSharma ,c Rana b Suyash Sharma,1,3,0,0,33.33,"Apr 6, 2023"
KKR Vs RCB,RCB,11,AkashDeep ,c & b Varun,17,8,2,1,212.50,"Apr 6, 2023"
Sunrisers Vs Super Giants,Sunrisers,1,AnmolpreetSingh †,lbw b Pandya,31,26,3,1,119.23,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,2,MayankAgarwal ,c Stoinis b Pandya,8,7,1,0,114.28,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,3,RahulTripathi ,c Mishra b Yash Thakur,34,41,4,0,82.92,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,4,AidenMarkram (c), b Pandya,0,1,0,0,0.00,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,5,HarryBrook ,st †Pooran b Ravi Bishnoi,3,4,0,0,75.00,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,6,WashingtonSundar ,c Hooda b Mishra,16,28,0,0,57.14,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,7,AbdulSamad ,not out,21,10,1,2,210.00,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,8,AdilRashid ,c Hooda b Mishra,4,3,1,0,133.33,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,9,UmranMalik ,run out (Hooda/Unadkat),0,0,0,0,-,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,10,BhuvneshwarKumar ,not out,0,0,0,0,-,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,1,KyleMayers ,c Agarwal b Fazalhaq Farooqi,13,14,2,0,92.85,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,2,KLRahul (c),lbw b Rashid,35,31,4,0,112.90,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,3,DeepakHooda ,c & b Kumar,7,8,0,1,87.50,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,4,KrunalPandya ,c †Anmolpreet Singh b Umran Malik,34,23,4,1,147.82,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,5,MarcusStoinis ,not out,10,13,2,0,76.92,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,6,RomarioShepherd ,lbw b Rashid,0,1,0,0,0.00,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,7,NicholasPooran †,not out,11,6,1,1,183.33,"Apr 7, 2023"
Royals Vs Capitals,Royals,1,YashasviJaiswal ,c & b Mukesh Kumar,60,31,11,1,193.54,"Apr 8, 2023"
Royals Vs Capitals,Royals,2,JosButtler ,c & b Mukesh Kumar,79,51,11,1,154.90,"Apr 8, 2023"
Royals Vs Capitals,Royals,3,SanjuSamson (c)†,c Nortje b Kuldeep Yadav,0,4,0,0,0.00,"Apr 8, 2023"
Royals Vs Capitals,Royals,4,RiyanParag , b Powell,7,11,0,0,63.63,"Apr 8, 2023"
Royals Vs Capitals,Royals,5,ShimronHetmyer ,not out,39,21,1,4,185.71,"Apr 8, 2023"
Royals Vs Capitals,Royals,6,DhruvJurel ,not out,8,3,0,1,266.66,"Apr 8, 2023"
Royals Vs Capitals,Capitals,1,PrithviShaw ,c †Samson b Boult,0,3,0,0,0.00,"Apr 8, 2023"
Royals Vs Capitals,Capitals,2,DavidWarner (c),lbw b Chahal,65,55,7,0,118.18,"Apr 8, 2023"
Royals Vs Capitals,Capitals,3,ManishPandey ,lbw b Boult,0,1,0,0,0.00,"Apr 8, 2023"
Royals Vs Capitals,Capitals,4,RileeRossouw ,c Jaiswal b R Ashwin,14,12,2,0,116.66,"Apr 8, 2023"
Royals Vs Capitals,Capitals,5,LalitYadav , b Boult,38,24,5,0,158.33,"Apr 8, 2023"
Royals Vs Capitals,Capitals,6,AxarPatel ,st †Samson b Chahal,2,6,0,0,33.33,"Apr 8, 2023"
Royals Vs Capitals,Capitals,7,RovmanPowell ,c Hetmyer b R Ashwin,2,2,0,0,100.00,"Apr 8, 2023"
Royals Vs Capitals,Capitals,8,AbishekPorel †,c Hetmyer b Chahal,7,9,1,0,77.77,"Apr 8, 2023"
Royals Vs Capitals,Capitals,9,KuldeepYadav ,not out,3,7,0,0,42.85,"Apr 8, 2023"
Royals Vs Capitals,Capitals,10,AnrichNortje , b Sandeep Sharma,0,1,0,0,0.00,"Apr 8, 2023"
Royals Vs Capitals,Capitals,11,MukeshKumar ,not out,1,1,0,0,100.00,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,1,RohitSharma (c), b Deshpande,21,13,3,1,161.53,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,2,IshanKishan †,c Pretorius b Jadeja,32,21,5,0,152.38,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,3,CameronGreen ,c & b Jadeja,12,11,1,0,109.09,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,4,SuryakumarYadav ,c †Dhoni b Santner,1,2,0,0,50.00,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,5,TilakVarma ,lbw b Jadeja,22,18,2,1,122.22,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,6,ArshadKhan ,lbw b Santner,2,4,0,0,50.00,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,7,TimDavid ,c Rahane b Deshpande,31,22,1,2,140.90,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,8,TristanStubbs ,c Gaikwad b Magala,5,10,0,0,50.00,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,9,HrithikShokeen ,not out,18,13,3,0,138.46,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,10,PiyushChawla ,not out,5,6,0,0,83.33,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,1,DevonConway , b Behrendorff,0,4,0,0,0.00,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,2,RuturajGaikwad ,not out,40,36,2,1,111.11,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,3,AjinkyaRahane ,c Yadav b Chawla,61,27,7,3,225.92,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,4,ShivamDube , b Kartikeya,28,26,2,1,107.69,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,5,AmbatiRayudu ,not out,20,16,3,0,125.00,"Apr 8, 2023"
Titans Vs KKR,Titans,1,WriddhimanSaha †,c Jagadeesan b Narine,17,17,3,0,100.00,"Apr 9, 2023"
Titans Vs KKR,Titans,2,ShubmanGill ,c Yadav b Narine,39,31,5,0,125.80,"Apr 9, 2023"
Titans Vs KKR,Titans,3,SaiSudharsan ,c sub (AS Roy) b Narine,53,38,3,2,139.47,"Apr 9, 2023"
Titans Vs KKR,Titans,4,AbhinavManohar , b Suyash Sharma,14,8,3,0,175.00,"Apr 9, 2023"
Titans Vs KKR,Titans,5,VijayShankar ,not out,63,24,4,5,262.50,"Apr 9, 2023"
Titans Vs KKR,Titans,6,DavidMiller ,not out,2,3,0,0,66.66,"Apr 9, 2023"
Titans Vs KKR,KKR,1,RahmanullahGurbaz †,c Yash Dayal b Mohammed Shami,15,12,1,1,125.00,"Apr 9, 2023"
Titans Vs KKR,KKR,2,NarayanJagadeesan ,c Manohar b Little,6,8,1,0,75.00,"Apr 9, 2023"
Titans Vs KKR,KKR,3,VenkateshIyer ,c Shubman Gill b Joseph,83,40,8,5,207.50,"Apr 9, 2023"
Titans Vs KKR,KKR,4,NitishRana (c),c Mohammed Shami b Joseph,45,29,4,3,155.17,"Apr 9, 2023"
Titans Vs KKR,KKR,5,RinkuSingh ,not out,48,21,1,6,228.57,"Apr 9, 2023"
Titans Vs KKR,KKR,6,AndreRussell ,c sub (†KS Bharat) b Rashid Khan,1,2,0,0,50.00,"Apr 9, 2023"
Titans Vs KKR,KKR,7,SunilNarine ,c sub (J Yadav) b Rashid Khan,0,1,0,0,0.00,"Apr 9, 2023"
Titans Vs KKR,KKR,8,ShardulThakur ,lbw b Rashid Khan,0,1,0,0,0.00,"Apr 9, 2023"
Titans Vs KKR,KKR,9,UmeshYadav ,not out,5,6,0,0,83.33,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,1,PrabhsimranSingh ,lbw b Kumar,0,1,0,0,0.00,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,2,ShikharDhawan (c),not out,99,66,12,5,150.00,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,3,MatthewShort ,lbw b Jansen,1,3,0,0,33.33,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,4,JiteshSharma †,c Markram b Jansen,4,9,1,0,44.44,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,5,SamCurran ,c Kumar b Markande,22,15,3,1,146.66,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,6,SikandarRaza ,c Agarwal b Umran Malik,5,6,0,0,83.33,"Apr 9, 2023"
